Standard_grade,Common_names,,,
4K+,+K4,4K,,
8R,8支骨,,,
帶骨,,,,
IWP,,,,
2.5K+,+2.5K,2.5K,,
4/5LB,,,,
3/4LB,,,,
3條庄,3條装,,,
1K+,+1K,,,
120日,,,,
穀飼,,,,
分包,,,,
直,直利,,,
+900g,900,900g,900g+,
A5,,,,
A4,,,,
A3,,,,
A2,,,,
A1,,,,
3支骨,3R,三支骨,,
4支骨,4R,四支骨,,
AAA,,,,
CAB,,,,
PRIME,,,,
CHOICE,,,,
9X12,9x12,,,
A/AA,,,,
AA,,,,
Ungraed,,,,
NR,No Roll,N/R,,
50g+,+50g,50g+,,
IQF,,,,
6Kx2,,,,
+31g,,,,
100/120,100-120g,,,
100g+,+100g,,,
1Kx12,12X1K,,,
280g+,+280g,,,
1-1.1K x10,,,,
2Kx6,2X6,,,
+200g,200,200g+,200g上,
+200g,200,250g+,250g上,
+300g,300,300g+,300g上,
1Kx10,,,,
1Kx12,,,,
25g+,+25g,,,
50g+,+50g,,,
削骨,,,,
綠盒,,,,
挑骨,,,,
5LBx10,,,,
柱裝,柱装,筒裝,柱庄,
網裝,網裝,網裝,網裝,
2.5Kx5,,,,
2.5Kx4,2.5x4,,,
10mmx10mm,,,,
2.5Kx6,,,,
3Kx4,,,,
250克x5x8包,,,,
1500G,,,,
1400G,,,,
120/150,120-140G,,,
200/250,200-250G,,,
280G+,,,,
220/240,220-240,,,
240/260,240-260,,,
260/280,260-280,,,
280/300,280-300,,,
300/320,300-320,,,
35g+,,,,
Double Jumbo,,,,
26/30,26-30,,,
40G+,40G+,,,
28/42,28-42g,,,
30X270G,,,,
28/36,28-36g,,,
32X12OZ,,,,
粗曲,,,,
直條,,,,
粗,,,,
曲條,曲,,,
脆漿粗直條,,,,
幼,,,,
厚切直條,,,,
2.25OZ,,,,
1OZ,,,,
2OZ,,,,
原味,,,,
辣味,,,,
啤酒味,,,,
辣味,,,,
JUMBO,,,,
SUPER JUMBO,,,,
XL,,,,
1/2,1-2,,,
2/3,2-3,,,
3/5,3-5,,,
3/4,3-4,,,
5/6,5-6,,,
5/7,5-7,,,
10/20,10-20,,,
金銀袋,,,,
20/30,20-30,,,
41/50,41-50,,,
11/15,11-15,,,
15/25,15-25,,,
25/50,25-50,,,
彩袋,,,,
零售,,,,
40/70,40-70,,,
3L,,,,
2L,,,,
7lb+,,,,
5/7,5-7,,,
300/400,300-400,,,
51/60,51-60,,,
61/70,61-70,,,
71/90,71-90,,,
91/110,91-110,,,
16/20,16-20,,,
31/40,31-40,,,
U10,,,,
U7,,,,
10/15,10-15,,,
15/20,15-20,,,
41/45,41-45,,,
70/100,70-100,,,
150/200,150-200,,,
300/350,300-350,,,
400/450,400-450,,,
U1,,,,
U2,,,,
U3,,,,
U4,,,,
U5,,,,
U6,,,,
U8,,,,
U9,,,,
U11,,,,
U12,,,,
U13,,,,
U14,,,,
U15,,,,
U16,,,,
U17,,,,
U18,,,,
U19,,,,
U20,,,,
60/70,60-70,,,
80VL,,,,
1x1,,,,
有Label,,,,
1K+,,,,
1-1.5K,,,,
1.5K+,1.5KG+,,,
1.5-2K,,,,
2K+,2kg上,,,
2x2,,,,
5條裝,五條裝,,,
2條裝,兩條裝,,,
4條裝,四條裝,,,
6條裝,六條裝,,,
5LB+,,,,
1.8KG+,,,,
1.3-1.8KG,,,,
1.4-1.8KG,,,,
PS,,,,
PB,,,,
BULL,,,,
黑安格斯,,,,
層裝,,,,
有骨,,,,
去脊骨,,,,
帶脊骨,,,,
1PC,單塊裝,,,
去皮,無皮,,,
帶皮,有皮,,,
去軟骨,,,,
餅裝,,,,
短,,,,
原隻,,,,
方切,,,,
18-20oz,,,,
16-18oz,,,,
14-16oz,,,,
16R,16支骨,,,
4R,4支骨,,,
chump off,,,,
chump on,,,,
1.8-2.kg,,,,
30g+,,,,
排裝,,,,
2x8KG,,,,
500G,,,,
3.5K+,3.5KG+,,,
UNSIZED,,,,
A5特,,,,
2-4條庄,,,,
不分廠 ,,,,
綠字 ,,,,
紅字 ,,,,
藍字 ,,,,
黃字,,,,
綠帶,,,,
紅帶,,,,
藍帶,,,,
黃帶,,,,
中碼,,,,
大碼 ,,,,
小碼 ,細碼 ,,,
帶鬚 ,,,,
小包庄 ,,,,
4/5,,,,
細切,,,,
86K廠,86K,,,
86M廠,86M,,,
278廠,278,,,
245C廠,245C,,,
245E廠,245E,,,
245J廠,245J,,,
245L廠,245L,,,
2411廠,2411,,,
86R廠,86R,,,
93廠,93,,,
208A廠,208A,,,
262廠,262,,,
332廠,332,,,
6x12,,,,
515廠,515,,,
去軟骨,去軟,,,
6/7/8,,,,
3/4/5,,,,
1.3kg,1.3,,,
1.4kg,1.4,,,
1.6kg,1.6,,,
1.7kg,1.7,,,
1.8kg,1.8,,,
3支骨,3支,,,
4支骨,4支,,,
Select,,,,
日式切法,kata rosa,katarosu,糖裝,
38廠,38,,,
deluxe,,,,
Premium,,,,
片骨,,,,
半切,halved cut,,,
切片,,,,
切扒,,,,
無激素,,,,
尾段,,,,
中段,,,,
蒜香,,,,
十三香,13香,,,
麻辣,,,,
零售包裝,零售裝,零售,Retail,
